FIPS,State,Area_Name,Year,Population,Births,Deaths,InternationalMig,DomesticMig,CivilianLaborForce,UnemploymentRate,3yearsPopulationChange
22000,LA,Louisiana,2021,4640575,62008.94048,48173.35714,2689.035714,-39399.29762,2142203.512,3.808333333,-19403
23000,ME,Maine,2019,1231640,12497.89286,14560.60714,976.5357143,4762.642857,692593.6429,2.025,
23000,ME,Maine,2020,1222591,12460.70238,14766.46429,914.4047619,5563.452381,691635.2857,1.291666667,
23000,ME,Maine,2021,1213541,12423.5119,14972.32143,852.2738095,6364.261905,690676.9286,0.558333333,-124863
24000,MD,Maryland,2019,6308235,71903.07143,51805.89286,23357.64286,-34694.07143,3208208,3.214285714,
24000,MD,Maryland,2020,6334703,71712.30952,52936.53571,23388.36905,-38586.55952,3222280.5,2.695238095,
24000,MD,Maryland,2021,6361170,71521.54762,54067.17857,23419.09524,-42479.04762,3236353,2.176190476,318452
25000,MA,Massachusetts,2019,7259730,70111.71429,59289.17857,53960,-33367.07143,3794266.286,2.5,
25000,MA,Massachusetts,2020,7326199,69752.67857,60075.94048,56448.58333,-37166.89286,3838906.238,1.883333333,
25000,MA,Massachusetts,2021,7392668,69393.64286,60862.70238,58937.16667,-40966.71429,3883546.19,1.266666667,490519
26000,MI,Michigan,2019,9975638,111561.5357,97744.14286,22926.60714,-13582.35714,4938180.321,2.55,
26000,MI,Michigan,2020,10013581,111229.4048,98759.36905,22881.21429,-10374.71429,4973366.393,1.6,
26000,MI,Michigan,2021,10051524,110897.2738,99774.59524,22835.82143,-7167.071429,5008552.464,0.65,55609
27000,MN,Minnesota,2019,5899510,69628.25,43863.60714,13375.42857,5720.464286,3087283.071,2.257142857,
27000,MN,Minnesota,2020,5927674,69749.16667,44373.79762,13434.52381,7605.845238,3107167.476,1.780952381,
27000,MN,Minnesota,2021,5955838,69870.08333,44883.9881,13493.61905,9491.22619,3127051.881,1.304761905,344659
28000,MS,Mississippi,2019,2740669,36386.67857,32176.42857,2564.607143,-10947.64286,1252504.643,3.65,
28000,MS,Mississippi,2020,2718691,35954.44048,32526.44048,2633.964286,-11592.61905,1245201.119,2.875,
