,FIPS,State,Area_Name,Year,Population,Births,Deaths,InternationalMig,DomesticMig,CivilianLaborForce,UnemploymentRate
61,24000,MD,Maryland,2020,6334703,71712.30952380953,52936.535714285914,23388.369047619046,-38586.55952380877,3222280.5,2.6952380952379826
62,24000,MD,Maryland,2021,6361170,71521.54761904763,54067.17857142864,23419.095238095237,-42479.047619047575,3236353.0,2.1761904761904134
63,25000,MA,Massachusetts,2019,7259730,70111.7142857142,59289.17857142864,53960.0,-33367.0714285709,3794266.2857142985,2.5000000000002274
64,25000,MA,Massachusetts,2020,7326199,69752.67857142852,60075.94047619053,56448.583333333954,-37166.892857142724,3838906.238095239,1.8833333333334394
65,25000,MA,Massachusetts,2021,7392668,69393.64285714284,60862.702380952425,58937.16666666698,-40966.71428571455,3883546.190476194,1.2666666666668789
66,26000,MI,Michigan,2019,9975638,111561.53571428568,97744.14285714296,22926.607142857145,-13582.357142857276,4938180.321428582,2.5499999999999545
67,26000,MI,Michigan,2020,10013581,111229.40476190473,98759.36904761917,22881.21428571429,-10374.714285714552,4973366.392857149,1.599999999999909
68,26000,MI,Michigan,2021,10051524,110897.27380952379,99774.59523809538,22835.821428571435,-7167.071428571828,5008552.464285716,0.650000000000091
69,27000,MN,Minnesota,2019,5899510,69628.25,43863.60714285716,13375.428571428565,5720.464285714552,3087283.071428567,2.257142857142867
70,27000,MN,Minnesota,2020,5927674,69749.16666666669,44373.797619047575,13434.523809523802,7605.845238095615,3107167.47619047,1.7809523809523853
71,27000,MN,Minnesota,2021,5955838,69870.08333333334,44883.988095238106,13493.619047619039,9491.226190476213,3127051.8809523806,1.3047619047619037
72,28000,MS,Mississippi,2019,2740669,36386.67857142852,32176.42857142852,2564.6071428571595,-10947.642857142957,1252504.6428571418,3.6499999999998636
73,28000,MS,Mississippi,2020,2718691,35954.440476190415,32526.440476190415,2633.96428571429,-11592.61904761917,1245201.1190476175,2.875
74,28000,MS,Mississippi,2021,2696713,35522.20238095231,32876.45238095231,2703.3214285714203,-12237.595238095382,1237897.5952380951,2.099999999999909
75,29000,MO,Missouri,2019,6202366,72880.39285714284,60983.53571428568,7691.42857142858,89.42857142863795,3073930.571428571,2.385714285714357
76,29000,MO,Missouri,2020,6199912,72443.28571428568,61622.57142857136,7795.273809523816,1761.857142857276,3078967.8095238097,1.671428571428578
77,29000,MO,Missouri,2021,6197457,72006.17857142852,62261.60714285704,7899.119047619053,3434.285714285914,3084005.0476190466,0.9571428571427987
78,30000,MT,Montana,2019,968963,12335.142857142862,9987.25,984.4285714285797,8227.642857142724,532629.75,2.864285714285643
79,30000,MT,Montana,2020,969951,12357.785714285717,10098.583333333314,1028.357142857145,8860.202380952192,536447.5,2.4202380952380054
80,30000,MT,Montana,2021,970940,12380.428571428572,10209.916666666657,1072.2857142857101,9492.761904761894,540265.25,1.9761904761904816
81,31000,NE,Nebraska,2019,1979129,26485.25,15974.857142857145,5904.535714285681,-3675.75,1015825.2857142857,2.3892857142857338
82,31000,NE,Nebraska,2020,1981321,26550.416666666686,16006.047619047618,6296.988095238106,-4055.1666666667443,1016678.9047619049,2.1619047619047933
83,31000,NE,Nebraska,2021,1983512,26615.583333333343,16037.238095238099,6689.440476190415,-4434.583333333372,1017532.5238095238,1.9345238095238528
84,32000,NV,Nevada,2019,2890619,36420.71428571432,25692.357142857043,4120.5,54650.21428571269,1491272.6428571492,2.5178571428573377
85,32000,NV,Nevada,2020,2908424,36580.51190476195,26439.13095238083,4227.333333333314,61387.59523809515,1508512.1190476194,1.3023809523810996
86,32000,NV,Nevada,2021,2926230,36740.30952380953,27185.904761904618,4334.166666666657,68124.97619047575,1525751.595238097,0.08690476190486152
87,33000,NH,New Hampshire,2019,1278515,12025.35714285716,12435.714285714319,3009.071428571431,5032.321428571595,761725.75,1.7357142857142662
88,33000,NH,New Hampshire,2020,1277485,11939.630952380976,12672.511904761952,2999.3928571428587,5938.892857142957,765026.0,1.238095238095184
89,33000,NH,New Hampshire,2021,1276456,11853.904761904763,12909.309523809527,2989.7142857142862,6845.464285714319,768326.25,0.7404761904762154
90,34000,NJ,New Jersey,2019,8887022,99863.03571428568,75949.67857142864,48226.142857142724,-64401.607142857276,4402462.857142858,2.8607142857144936
91,34000,NJ,New Jersey,2020,8860349,99119.57142857136,76754.52380952379,50739.6190476194,-66661.6309523806,4379980.714285716,2.0214285714287143
92,34000,NJ,New Jersey,2021,8833675,98376.10714285704,77559.36904761917,53253.09523809515,-68921.65476190485,4357498.571428575,1.182142857142935
93,35000,NM,New Mexico,2019,1884938,23348.71428571432,18791.28571428568,1908.7142857142026,-9801.535714285797,940766.6071428568,5.157142857142844
94,35000,NM,New Mexico,2020,1874702,22783.178571428638,19104.988095238106,1582.9285714285215,-10198.821428571478,942576.7142857141,4.855952380952317
95,35000,NM,New Mexico,2021,1864466,22217.642857142957,19418.690476190415,1257.1428571428405,-10596.10714285716,944386.8214285714,4.554761904761904
96,36000,NY,New York,2019,19485759,227483.07142857136,163520.53571428545,70840.25,-219478.4285714291,9564879.892857144,3.1285714285713766
97,36000,NY,New York,2020,19461488,225462.89285714272,165695.40476190485,68381.33333333395,-235613.5238095224,9563373.785714285,2.440476190476147
