FIPS,State,Area_Name,Year,Population,Births,Deaths,InternationalMig,DomesticMig,CivilianLaborForce,UnemploymentRate
35000,NM,New Mexico,2012,2087549,27048,16456,3830,-7179,927795,7.1
36000,NY,New York,2012,19574549,239922,146900,90870,-107485,9612232,8.5
37000,NC,North Carolina,2012,9749123,119573,79506,21892,29749,4680057,9.3
38000,ND,North Dakota,2012,701116,9873,5935,1137,10571,397867,3.1
39000,OH,Ohio,2012,11548369,137682,111412,17524,-38549,5705591,7.4
40000,OK,Oklahoma,2012,3818600,52346,36952,6622,8672,1803863,5.2
41000,OR,Oregon,2012,3899118,44912,32946,4418,11098,1953439,8.8
42000,PA,Pennsylvania,2012,12766827,142120,125499,25615,-18630,6462939,7.8
44000,RI,Rhode Island,2012,1054601,11009,9321,4411,-4996,558487,10.4
45000,SC,South Carolina,2012,4717112,57522,42075,5917,23939,2186878,9.2
46000,SD,South Dakota,2012,833496,11891,7433,2107,3356,442442,4.3
47000,TN,Tennessee,2012,6451281,80309,60638,7918,26026,3100671,7.8
48000,TX,Texas,2012,26089620,378109,169149,88080,143712,12670455,6.7
49000,UT,Utah,2012,2853467,50448,15475,5024,-662,1372971,5.4
50000,VT,Vermont,2012,626063,6087,5456,215,-1722,354857,5
51000,VA,Virginia,2012,8185229,102755,60214,36982,5020,4223844,6.1
53000,WA,Washington,2012,6892876,86718,49438,21908,12300,3471282,8.1
54000,WV,West Virginia,2012,1856764,20676,21492,890,730,807917,7.5
55000,WI,Wisconsin,2012,5719855,67653,47888,5819,-10190,3073981,7
56000,WY,Wyoming,2012,576270,7437,4379,463,5345,307267,5.3
1000,AL,Alabama,2013,4830460,57936,50847,5111,2641,2174000,7.2
2000,AK,Alaska,2013,737045,11342,4046,2881,-3544,365292,7
4000,AZ,Arizona,2013,6634999,86100,50590,18681,23960,3029425,7.7
5000,AR,Arkansas,2013,2959549,37977,30939,2384,-2046,1322576,7.2
6000,CA,California,2013,38280824,499628,247723,123416,-52973,18624992,8.9
8000,CO,Colorado,2013,5270482,64736,33581,9060,35843,2767153,6.9
9000,CT,Connecticut,2013,3594915,36138,29784,11171,-16929,1863337,7.8
10000,DE,Delaware,2013,923638,10889,8092,2387,3322,442728,6.7
11000,DC,District of Columbia,2013,650431,9446,4811,4751,6118,374126,8.5
12000,FL,Florida,2013,19563166,212995,181628,104788,99974,9453747,7.2
13000,GA,Georgia,2013,9973326,128660,74815,22766,-5471,4756157,8.2
15000,HI,Hawaii,2013,1408453,19036,10339,5758,-760,651557,4.9
16000,ID,Idaho,2013,1611530,22704,12298,1855,3695,770833,6.1
17000,IL,Illinois,2013,12898269,157511,104307,28700,-67632,6549473,9
18000,IN,Indiana,2013,6568367,83369,60708,8760,-382,3188406,7.7
19000,IA,Iowa,2013,3093078,38805,29139,6973,306,1674190,4.7
20000,KS,Kansas,2013,2893510,39724,25593,5815,-11799,1485917,5.3
21000,KY,Kentucky,2013,4404817,56047,44424,8887,-2018,2055442,8
22000,LA,Louisiana,2013,4624577,62527,43780,6178,-1426,2101416,6.7
23000,ME,Maine,2013,1328196,12871,13403,1753,-594,705417,6.6
24000,MD,Maryland,2013,5923704,72362,45736,21406,-10919,3129352,6.6
25000,MA,Massachusetts,2013,6713944,72154,54785,37172,-3050,3512827,6.7
26000,MI,Michigan,2013,9913349,113008,92298,23401,-27887,4723945,8.8
27000,MN,Minnesota,2013,5413693,68968,41320,11130,-1281,2958596,5
28000,MS,Mississippi,2013,2988797,38506,30639,1737,-4638,1272477,8.5
29000,MO,Missouri,2013,6040658,75170,57580,5486,-6235,3020202,6.7
30000,MT,Montana,2013,1013564,12205,9444,1654,5359,510781,5.4
31000,NE,Nebraska,2013,1865414,26022,16171,3146,-839,1018294,3.8
32000,NV,Nevada,2013,2776972,35089,21253,4574,13984,1381157,9.6
33000,NH,New Hampshire,2013,1326408,12595,10872,2548,-1717,741285,5.1
34000,NJ,New Jersey,2013,8858362,103459,72472,29049,-47133,4548560,8.2
35000,NM,New Mexico,2013,2092792,26731,16801,5755,-10494,923899,6.9
36000,NY,New York,2013,19628043,239872,152576,78677,-111926,9659170,7.7
37000,NC,North Carolina,2013,9843599,119381,84316,19502,39304,4692940,8
38000,ND,North Dakota,2013,721999,10252,6224,1096,15341,406193,2.9
39000,OH,Ohio,2013,11576576,139089,114516,24116,-19895,5716730,7.5
40000,OK,Oklahoma,2013,3853205,53345,38616,5678,13996,1802073,5.3
41000,OR,Oregon,2013,3922908,44991,33414,3407,8870,1910702,7.9
42000,PA,Pennsylvania,2013,12776621,141805,130945,29587,-29890,6442411,7.4
44000,RI,Rhode Island,2013,1055122,10869,9636,3825,-4505,556926,9.3
45000,SC,South Carolina,2013,4764153,56560,44661,5153,29597,2190968,7.6
46000,SD,South Dakota,2013,842270,12059,7291,91,3836,443079,3.8
47000,TN,Tennessee,2013,6493432,80283,63491,9920,15067,3067431,7.8
48000,TX,Texas,2013,26489464,384420,178632,83041,108849,12857595,6.3
49000,UT,Utah,2013,2897927,51852,16280,3322,5657,1405630,4.6
50000,VT,Vermont,2013,626212,5978,5559,321,-529,350447,4.4
51000,VA,Virginia,2013,8253053,102539,63413,25574,3217,4237277,5.7
53000,WA,Washington,2013,6962906,87238,51321,19429,14660,3463869,7
54000,WV,West Virginia,2013,1853873,20926,22253,634,-2124,798530,6.8
55000,WI,Wisconsin,2013,5736952,66892,50041,7967,-7347,3079305,6.7
56000,WY,Wyoming,2013,582123,7515,4616,479,2387,306608,4.7
1000,AL,Alabama,2014,4842481,58907,49692,3753,-755,2160842,6.8
2000,AK,Alaska,2014,736307,11446,4035,1213,-9593,365383,6.9
4000,AZ,Arizona,2014,6733840,86124,50236,22020,40464,3099884,6.8
5000,AR,Arkansas,2014,2967726,38230,29942,3188,-3305,1316506,6
6000,CA,California,2014,38625139,498911,243951,138111,-45720,18714706,7.5
8000,CO,Colorado,2014,5351218,65722,33934,9814,38359,2802528,5
9000,CT,Connecticut,2014,3594783,36158,29668,18263,-25041,1887428,6.6
10000,DE,Delaware,2014,932596,10982,8077,1781,4246,452187,5.7
11000,DC,District of Columbia,2014,662513,9334,4648,5222,2086,379123,7.8
12000,FL,Florida,2014,19860330,218336,181057,113737,143628,9567295,6.3
13000,GA,Georgia,2014,10069001,129559,74830,17314,23419,4738946,7.1
